Student,Topic,Top_Num,Question,Hints,Compiles,Correct,Start,Finish
,Methods - code reading,6,1,6,0,0,2016-04-11  20:12:02.35,2016-04-11  20:14:56.19
,Methods - code reading,6,6,8,0,1,2016-04-11  20:14:56.19,2016-04-11  20:18:19.48
56a6b501c478dbdffc7190bf,107
,Print statements,1,1,0,0,2,2016-02-03  01:14:46.08,2016-02-03  01:16:04.59
,Print statements,1,1,0,0,1,2016-02-02  17:49:25.82,2016-02-02  17:49:59.54
,Print statements,1,2,0,0,0,2016-02-02  17:49:59.54,2016-02-02  19:50:23.63
,Print statements,1,3,0,0,1,2016-02-02  19:50:23.63,2016-02-02  19:53:22.83
,Print statements,1,4,0,0,1,2016-02-02  19:53:22.84,2016-02-02  19:55:28.80
,Print statements,1,1,0,0,1,2016-02-03  07:27:53.05,2016-02-03  07:28:29.88
,Print statements,1,2,0,0,0,2016-02-03  07:28:29.89,2016-02-03  07:28:55.85
,Print statements,1,3,0,0,1,2016-02-03  07:28:55.85,2016-02-03  07:30:04.46
,Print statements,1,4,0,0,2,2016-02-03  07:30:04.46,2016-02-03  07:31:07.16
,Print statements,1,2,0,0,1,2016-02-03  07:37:44.89,2016-02-03  07:39:02.59
,Print statements,1,5,0,0,0,2016-02-03  07:39:15.01,2016-02-03  07:41:26.46
,Print statements,1,6,0,0,1,2016-02-03  07:41:26.46,2016-02-03  07:42:08.68
,Print statements,1,7,0,0,0,2016-02-03  07:42:08.68,2016-02-03  07:44:57.83
,For-loops - code reading,2,1,0,0,2,2016-02-03  07:44:58.47,2016-02-03  07:48:27.10
,For-loops - code reading,2,2,0,0,1,2016-02-03  07:48:27.10,2016-02-03  07:50:12.90
,For-loops - code reading,2,3,0,0,0,2016-02-03  07:50:12.90,2016-02-03  08:09:08.27
,For-loops - code reading,2,3,0,0,0,2016-02-03  08:09:13.40,2016-02-03  08:13:52.89
,For-loops - code reading,2,4,0,0,1,2016-02-03  08:13:52.89,2016-02-03  08:21:06.76
,Syntax errors,3,1,0,1,1,2016-02-03  08:21:43.76,2016-02-03  08:22:42.55
,Syntax errors,3,2,0,0,1,2016-02-03  08:22:42.55,2016-02-03  08:23:29.82
,Syntax errors,3,3,0,1,1,2016-02-03  08:23:29.82,2016-02-03  08:24:46.74
,Syntax errors,3,4,0,2,1,2016-02-03  08:24:46.74,2016-02-03  08:26:17.37
,Syntax errors,3,5,0,2,1,2016-02-03  08:26:17.37,2016-02-03  08:28:16.24
,Syntax errors,3,6,0,2,1,2016-02-03  08:28:16.24,2016-02-03  08:31:53.19
,Print statements,1,5,0,0,1,2016-02-03  09:50:46.00,2016-02-03  09:53:26.00
,For-loops - code reading,2,3,0,0,1,2016-02-03  09:53:38.60,2016-02-03  10:07:58.56
,For-loops - code reading,2,4,0,0,2,2016-02-03  10:08:07.55,2016-02-03  10:13:09.02
,Strings and casting,4,2,0,0,2,2016-02-03  10:18:59.31,2016-02-03  10:32:56.13
,Strings and casting,4,3,0,0,1,2016-02-03  10:32:56.13,2016-02-03  10:36:32.06
,Strings and casting,4,4,0,0,1,2016-02-03  10:36:32.06,2016-02-03  10:36:56.88
,Strings and casting,4,5,0,0,1,2016-02-03  10:36:56.88,2016-02-03  10:38:40.81
,Strings and casting,4,6,0,0,1,2016-02-03  10:38:40.81,2016-02-03  10:39:22.55
,For-loops - code writing,5,1,0,0,1,2016-02-03  10:46:08.66,2016-02-03  10:47:02.50
,For-loops - code writing,5,2,0,0,1,2016-02-03  10:47:02.50,2016-02-03  10:50:10.99
,For-loops - code writing,5,3,0,0,0,2016-02-03  10:50:10.99,2016-02-03  10:59:09.55
,For-loops - code writing,5,4,0,0,0,2016-02-03  11:00:40.29,2016-02-03  11:07:14.66
,For-loops - code writing,5,5,0,0,1,2016-02-03  11:07:14.66,2016-02-03  11:10:57.84
,For-loops - code writing,5,6,0,0,1,2016-02-03  11:11:09.32,2016-02-03  11:13:58.72
,Methods - code reading,6,3,0,0,1,2016-02-03  11:18:06.41,2016-02-03  11:28:58.14
,Methods - code reading,6,4,0,0,1,2016-02-03  11:29:15.45,2016-02-03  11:30:53.14
,For-loops - code writing,5,1,0,0,1,2016-02-03  15:09:26.58,2016-02-03  15:13:38.48
,For-loops - code writing,5,2,0,0,1,2016-02-03  15:13:38.48,2016-02-03  15:24:01.11
,For-loops - code writing,5,3,5,0,0,2016-02-03  15:24:01.11,2016-02-03  15:38:32.78
,For-loops - code writing,5,5,7,0,0,2016-02-04  02:07:57.81,2016-02-04  02:16:49.40
,For-loops - code writing,5,6,4,0,0,2016-02-04  02:16:49.40,2016-02-04  02:17:49.89
,For-loops - code reading,2,1,3,0,1,2016-02-04  02:17:58.67,2016-02-04  02:19:55.39
,Print statements,1,2,3,0,0,2016-02-04  02:20:11.01,2016-02-04  02:21:57.27
,Print statements,1,3,5,0,0,2016-02-04  02:21:57.27,2016-02-04  02:22:34.82
,Print statements,1,5,8,0,0,2016-02-04  02:22:38.65,2016-02-04  02:24:21.41
,Print statements,1,6,11,0,1,2016-02-04  02:24:21.41,2016-02-04  02:25:48.60
,For-loops - code writing,5,1,5,1,0,2016-03-02  15:46:11.84,2016-03-02  15:57:05.28
,For-loops - code writing,5,2,6,0,0,2016-03-02  15:57:05.28,2016-03-02  16:06:23.79
,For-loops - code writing,5,3,5,0,0,2016-03-02  16:06:23.79,2016-03-02  16:45:12.91
,For-loops - code writing,5,4,6,0,0,2016-03-02  16:45:12.91,2016-03-02  17:00:04.74
